stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0.5,10.5,68.25987140001962,,68.24510220001685,68.25987140001962,68.75982580002164,68.75982580002164,68.75982580002164,69.05999670000165,69.66184440001962,right,10.5,1,1,0.8964682999940123,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
11,0.5,10.5,69.67636060001678,,69.66198040000745,69.67636060001678,70.17604170000413,70.17604170000413,70.17604170000413,70.47600530000636,70.86056329999701,right,10.5,1,1,0.6705452000023797,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
12,0.5,10.5,70.87565530001302,,70.86069230001885,70.87565530001302,71.37545670001418,71.37545670001418,71.37545670001418,71.67552190000424,72.01053349999711,right,10.5,1,1,0.6239157999807503,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
13,0.5,10.0,72.0253813000163,,72.01067540000076,72.0253813000163,72.52519360001315,72.52519360001315,72.52519360001315,72.82547919999342,73.20990410001832,left,-10.0,1,1,0.6779446000000462,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
14,0.5,10.0,73.22480450000148,,73.21007970001665,73.22480450000148,73.72486310001113,73.72486310001113,73.72486310001113,74.02457040001173,74.47576170001412,left,-10.0,1,1,0.7344258000084665,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
15,0.5,10.0,74.49146920000203,,74.47589440000593,74.49146920000203,74.99119110000902,74.99119110000902,74.99119110000902,75.29090580000775,75.55905209999764,right,10.0,1,1,0.5618419999955222,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
16,0.5,9.5,75.57461090001743,,75.55920190000325,75.57461090001743,76.07415230001789,76.07415230001789,76.07415230001789,76.37414500000887,76.59248230000958,left,-9.5,1,1,0.5125708999985363,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
17,0.5,9.5,76.60762850000174,,76.59264430002077,76.60762850000174,77.10702330002096,77.10702330002096,77.10702330002096,77.40688860000228,77.72512250000727,right,9.5,1,1,0.6072838999971282,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
18,0.5,9.5,77.74021069999435,,77.72529689999647,77.74021069999435,78.24018409999553,78.24018409999553,78.24018409999553,78.54041340001277,78.67472140002064,left,-9.5,1,1,0.4232942999806255,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
19,0.5,9.0,78.6894914000004,,78.674863799999,78.6894914000004,79.18980520000332,79.18980520000332,79.18980520000332,79.48935390001861,79.70765510000638,right,9.0,1,1,0.5073131000099238,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
20,0.5,9.0,79.72278140002163,,79.70779400001629,79.72278140002163,80.22257690000697,80.22257690000697,80.22257690000697,80.52255900000455,80.65723260000232,right,9.0,0,0,0.4220342000189703,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
21,0.5,9.5,80.67303269999684,,80.65737250001985,80.67303269999684,81.17271879999316,81.17271879999316,81.17271879999316,81.4726120000123,82.45701060001738,right,9.5,1,1,1.2699093999981415,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
22,0.5,9.5,82.47180510000908,,82.45714899999439,82.47180510000908,82.97195090001333,82.97195090001333,82.97195090001333,83.27161570001044,83.78987700000289,right,9.5,1,1,0.802731900010258,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
23,0.5,9.5,83.80475410001236,,83.79001450000214,83.80475410001236,84.30468349999865,84.30468349999865,84.30468349999865,84.60500520002097,84.93935090000741,right,9.5,1,1,0.6241215999762062,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
24,0.5,9.0,84.95467209999333,,84.93949250000878,84.95467209999333,85.45396830001846,85.45396830001846,85.45396830001846,85.75442390001263,85.98868209999637,right,9.0,1,1,0.5271837000036612,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
