pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,3,2,14,2,,,,,38.92326030007098,,38.90621430007741,38.92326030007098,39.907302700099535,39.907302700099535,39.907302700099535,39.907302700099535,39.91991360008251,40.91930550010875,40.91930550010875,41.3042270001024,c,1,0.36826490005478263,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,3,3,15,3,,,,,41.32218380004633,,41.30587240005843,41.32218380004633,42.305971300113015,42.305971300113015,42.305971300113015,42.305971300113015,42.31923910009209,43.3192075000843,43.3192075000843,43.6036939000478,z,1,0.2744872000766918,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,4,0,16,0,,,,,43.62149830011185,,43.605398500105366,43.62149830011185,44.60759070003405,44.60759070003405,44.60759070003405,44.60759070003405,44.62044650001917,45.61785830010194,45.61785830010194,46.22066870005801,x,1,0.6004002999980003,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,4,1,17,1,,,,,46.2370037001092,,46.22202930005733,46.2370037001092,47.234492400079034,47.234492400079034,47.234492400079034,47.234492400079034,47.234492400079034,48.23384320002515,48.23384320002515,48.53552700008731,v,1,0.2908781999722123,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,4,2,18,2,,,,,48.552865100093186,,48.53704680001829,48.552865100093186,49.536410900065675,49.536410900065675,49.536410900065675,49.536410900065675,49.5499148000963,50.56524850009009,50.56524850009009,51.95091230003163,c,1,1.3824803999159485,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,4,3,19,3,,,,,51.9685733000515,,51.95215980010107,51.9685733000515,52.95258070004638,52.95258070004638,52.95258070004638,52.95258070004638,52.965783899999224,53.96533040003851,53.96533040003851,54.332935200072825,z,1,0.35325409995857626,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,5,0,20,0,,,,,54.35296150005888,,54.33369100000709,54.35296150005888,55.33458850008901,55.33458850008901,55.33458850008901,55.33458850008901,55.36490240006242,56.34801870002411,56.34801870002411,57.05000850011129,x,1,0.6964841999579221,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,5,1,21,1,,,,,57.067478400073014,,57.05234660010319,57.067478400073014,58.06508610001765,58.06508610001765,58.06508610001765,58.06508610001765,58.06508610001765,59.06348730006721,59.06348730006721,59.881352200056426,v,1,0.8045035999966785,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,5,2,22,2,,,,,59.899292300106026,,59.88270830002148,59.899292300106026,60.88393290003296,60.88393290003296,60.88393290003296,60.88393290003296,60.89609570009634,61.895733000012115,61.895733000012115,62.19764250004664,c,1,0.2981756000081077,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,5,3,23,3,,,,,62.21512250008527,,62.19914930011146,62.21512250008527,63.19854580005631,63.19854580005631,63.19854580005631,63.19854580005631,63.21235520008486,64.2117564000655,64.2117564000655,64.62988210003823,z,1,0.41264170000795275,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,6,0,24,0,,,,,64.64753700001165,,64.63123460009228,64.64753700001165,65.63179410004523,65.63179410004523,65.63179410004523,65.63179410004523,65.64547860005405,66.64416160003748,66.64416160003748,67.36309120000806,x,1,0.7053033999400213,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,6,1,25,1,,,,,67.38114680000581,,67.36452940001618,67.38114680000581,68.36862420011312,68.36862420011312,68.36862420011312,68.36862420011312,68.38313770003151,69.3764973001089,69.3764973001089,69.86235510010738,v,1,0.478774799965322,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,6,2,26,2,,,,,69.87917290010955,,69.8637498000171,69.87917290010955,70.86310900002718,70.86310900002718,70.86310900002718,70.86310900002718,70.8763829000527,71.87584410002455,71.87584410002455,72.21063640003558,c,1,0.3237415000330657,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
