key_resp.corr,key_resp.rt,,seqRT,ranRT,,,,,
1,1.321388,,1.321388,0.7339313,,,,,
0,0.6529122,,0.6529122,0.557929,,,,,
1,0.774839,,0.774839,0.4759623,,,,,
1,1.2402716,,1.2402716,0.8709376,,,,,
1,0.864477,,0.864477,0.8071836,,,,,
1,0.3869609,,0.3869609,0.4013301,,,,,
1,0.8268422,,0.8268422,0.5995718,,,,,
1,0.2437949,,0.2437949,0.738921,,,,,
1,0.8162602,,0.8162602,0.7564754,,,,,
1,1.0650058,,1.0650058,0.6839561,,,,,
1,0.6812598,,0.6812598,1.1776399,,,,,
1,0.7979966,,0.7979966,1.758696,,,,,
1,0.8018132,,0.8018132,2.229833,,,,,
1,0.8402343,,0.8402343,0.7617712,,,,,
1,0.9777776,,0.9777776,0.7489984,,,,,
1,0.5805019,,0.5805019,0.6104658,,,,,
1,0.8245162,,0.8245162,1.0053675,,,,,
1,1.2098591,,1.2098591,0.7693474,,,,,
1,0.4178908,,0.4178908,1.2901529,,,,,
1,0.3038093,,0.3038093,0.9484841,,,,,
1,0.9401701,,0.9401701,0.6241661,,,,,
1,0.2548014,,0.2548014,0.7652559,,,,,
1,0.348275,,0.348275,0.4377529,,,,,
1,0.2527769,,0.2527769,0.5492237,,,,,
1,0.4158028,,0.4158028,0.3797434,,,,,
1,0.3037719,,0.3037719,0.4102857,,,,,
1,0.3167914,,0.3167914,0.6092828,,,,,
1,0.3046115,,0.3046115,0.6188278,,,,,
1,0.8314153,,0.8314153,0.4180979,,,,,
1,0.596408,,0.596408,0.4253978,,,,,
1,1.1647369,,1.1647369,0.3813909,,,,,
1,1.7353048,,1.7353048,0.4518638,,,,,
1,1.1632246,,1.1632246,0.613057,,,,,
1,0.3123471,,0.3123471,0.3853323,,,,,
1,0.4903682,,0.4903682,0.711427,,,,,
1,0.2455997,,0.2455997,0.4984089,,,,,
1,0.8493096,,0.8493096,0.8382246,,,,,
1,0.8836919,,0.8836919,0.4776327,,,,,
1,0.5833546,,0.5833546,0.6107795,,,,,
1,0.7934653,,0.7934653,0.5733389,,,,,
1,0.9017264,,0.9017264,1.2583586,,,,,
1,1.5182371,,1.5182371,0.544014,,,,,
1,0.7089714,,0.7089714,0.5596534,,,,,
1,0.3174394,,0.3174394,0.7768852,,,,,
1,0.9804195,,0.9804195,1.0074323,,,,,
1,0.5868295,,0.5868295,0.7880628,,,,,
1,0.9547763,,0.9547763,0.9671454,,,,,
1,0.5569742,,0.5569742,0.7327361,,,,,
1,0.8351157,,0.8351157,0.6987242,,,,,
1,0.2805417,,0.2805417,0.6125877,,,,,
1,0.3724746,,0.3724746,0.7585125,,,,,
1,0.4039735,,0.4039735,0.7115032,,,,,
1,4.7627991,,4.7627991,1.3227779,,,,,
1,0.6425802,,0.6425802,0.7189405,,,,,
1,0.3030181,,0.3030181,0.9277266,,,,,
1,0.3586805,,0.3586805,0.8077297,,,,,
1,1.0702707,,1.0702707,2.5857638,,,,,
1,0.6860515,,0.6860515,0.7058803,,,,,
1,0.6903932,,0.6903932,0.8173814,,,,,
1,0.6395335,,0.6395335,0.3879592,,,,,
1,1.5065532,,1.5065532,1.0908761,,,,,
0,0.8294476,,0.8294476,0.7699825,,,,,
1,0.9608364,,0.9608364,0.6654451,,,,,
1,0.7215669,,0.7215669,0.8019133,,,,,
1,2.774251,,2.774251,1.1643947,,,,,
1,7.1636358,,7.1636358,0.71564,,,,,
1,0.9776815,,0.9776815,1.4204764,,,,,
1,2.6693803,,2.6693803,0.5824905,,,,,
1,1.5841382,,1.5841382,0.8228833,,,,,
1,1.4831524,,1.4831524,0.7680335,,,,,
1,0.6371036,,0.6371036,0.7836122,,,,,
1,0.9392895,,0.9392895,0.6592403,,,,,
1,0.8089061,,0.8089061,0.6666789,,,,,
1,0.4665988,,0.4665988,1.0222941,,,,,
1,0.6510856,,0.6510856,0.7079667,,,,,
1,0.3333319,,0.3333319,1.1790953,,,,,
1,0.6189102,,0.6189102,0.7843807,,,,,
1,0.5152784,,0.5152784,0.6887895,,,,,
1,0.6525591,,0.6525591,0.6989549,,,,,
1,0.6354453,,0.6354453,0.8703285,,,,,
1,0.8438833,,0.8438833,0.566389,,,,,
1,0.6785804,,0.6785804,0.4652901,,,,,
1,0.7302303,,0.7302303,0.6211187,,,,,
1,0.2158217,,0.2158217,0.6368735,,,,,
1,0.9424763,,0.9424763,0.5618155,,,,,
1,0.2775303,,0.2775303,0.7678013,,,,,
1,0.8873313,,0.8873313,0.8731496,,,,,
1,0.3632616,,0.3632616,0.8032431,,,,,
1,1.7331186,,1.7331186,0.4965735,,,,,
1,0.5735074,,0.5735074,0.6998184,,,,,
1,1.0340755,,1.0340755,0.7837416,,,,,
1,0.5492388,,0.5492388,0.743242,,,,,
1,0.8175442,,0.8175442,0.7213415,,,,,
1,0.4100493,,0.4100493,0.7422361,,,,,
1,0.452122,,0.452122,1.4303642,,,,,
1,0.4856045,,0.4856045,0.5944783,,,,,
1,0.8689745,,0.8689745,0.6087565,,,,,
1,1.5340073,,1.5340073,0.9902785,,,,,
1,0.3031725,,0.3031725,0.9784996,,,,,
1,0.342466,,0.342466,0.9284024,,,,,
1,0.9207348,,0.9207348,1.5730148,,,,,
1,0.2720895,,0.2720895,0.6691629,,,,,
1,0.3239154,,0.3239154,0.8389557,,,,,
1,0.3006897,,0.3006897,0.7734739,,,,,
1,0.9866422,,0.9866422,0.5393029,,,,,
1,0.3071491,,0.3071491,0.5279255,,,,,
1,0.2856206,,0.2856206,0.6197327,,,,,
1,0.125841,,0.125841,0.4740518,,,,,
1,0.8466601,,0.8466601,0.7041405,,,,,
1,0.3264882,,0.3264882,1.414858,,,,,
1,0.7373013,,0.7373013,1.8599296,,,,,
1,0.1718218,,0.1718218,0.6832847,,,,,
1,2.3843348,,2.3843348,0.5176453,,,,,
1,1.0696194,,1.0696194,0.6389429,,,,,
1,0.8584612,,0.8584612,0.6766533,,,,,
1,0.2482803,,0.2482803,0.7123857,,,,,
1,0.4473143,,0.4473143,0.5092949,,,,,
1,0.317655,,0.317655,0.7015362,,,,,
1,0.3180553,,0.3180553,0.485167,,,,,
1,0.0905244,,0.0905244,0.5942507,,,,,
